chrom	txStart	txEnd	strand	#name	name2	exonCount
chr10	39687958	39706452	-	NM_001113385	BC021785	4
chr10	39721378	39745074	-	NM_144821	AI317395	4
chr10	39753340	39862060	-	NM_001114332	Slc16a10	6
chr10	39943051	39966845	-	NM_023323	Rpf2	10
chr10	39969008	39977471	-	NM_026113	Gtf3c6	6
chr10	40007263	40021994	-	NM_009665	Amd1	8
chr10	40007270	40021992	-	NM_007444	Amd2	8
chr10	40069113	40203624	+	NM_001168304	Cdk19	13
chr10	40290167	40323938	+	NM_027572	Slc22a16	8
chr10	40349816	40369737	+	NM_027442	Ddo	5
chr10	40403087	40530889	+	NM_177793	9030224M15Rik	5
chr10	40551426	40602949	-	NM_027879	Cdc40	15
chr10	40603339	40658375	+	NM_031877	Wasf1	9
chr10	40790298	40791390	-	NM_199058	Gpr6	1
chr10	40907977	41023047	-	NM_133999	Fig4	23
chr10	41170201	41185380	+	NM_153398	Zbtb24	7
chr10	41196119	41206836	+	NM_138315	Mical1	24
chr10	41206977	41210146	-	NM_009213	Smpd2	10
chr10	41210244	41234094	+	NM_028430	Ppil6	8
chr10	41239305	41250848	+	NM_016898	Cd164	6
chr10	41258654	41307559	-	NM_001177571	Ccdc162	18
chr10	41287821	41296282	+	NR_045341	5730435O14Rik	4
chr10	41438645	41529469	-	NM_029132	Cep57l1	12
chr10	41530379	41628242	+	NM_001162908	Sesn1	10
chr10	41634796	41738188	-	NM_001034858	Armc2	18
chr10	41905591	41996548	-	NM_019740	Foxo3	4
chr10	42032390	42198371	-	NM_145743	Lace1	13
chr10	42221859	42255175	+	NM_017472	Snx3	4
chr10	42281776	42303394	-	NM_152229	Nr2e1	9
chr10	42398721	42422268	+	NM_172416	Ostm1	6
chr10	42481301	42552320	+	NM_153055	Sec63	21
chr10	42580317	42680588	+	NM_172938	Scml4	9
chr10	42722305	42894336	-	NM_175407	Sobp	7
chr10	42894509	42896368	+	NM_172419	9030612E09Rik	1
chr10	42941291	43160054	+	NM_027772	Pdss2	8
chr10	43198945	43235223	+	NM_199028	Bend3	4
chr10	43244926	43260800	-	NM_026411	1700021F05Rik	4
chr10	43298974	43304071	+	NM_009846	Cd24a	2
chr10	43313232	43350719	+	NR_033558	F830002L21Rik	3
chr10	43465963	43485642	+	NR_040581	1700027J07Rik	4
chr10	43593995	43621542	-	NM_001081054	Qrsl1	11
chr10	43621612	43667668	+	NM_130892	Rtn4ip1	9
chr10	43670112	43724652	-	NM_172393	Aim1	20
chr10	43890252	43939391	+	NR_001582	Speer5-ps1	7
chr10	43988163	44084097	+	NM_053069	Atg5	8
chr10	44079481	44079574	+	NR_035450	Mir1929	1
chr10	44156980	44178493	-	NM_007548	Prdm1	7
chr10	44787019	44878801	+	NM_011156	Prep	15
chr10	45009110	45038256	+	NM_024286	Popdc3	4
chr10	45055567	45089514	+	NM_024285	Bves	8
chr10	45096424	45190007	-	NM_001031772	Lin28b	5
chr10	45297634	45432151	+	NM_172473	Hace1	24
chr10	45527509	45571824	+	NR_040624	D030045P18Rik	3
chr10	48813486	48815649	-	NR_046212	C130030K03Rik	1
chr10	48819268	49508560	-	NM_010349	Grik2	18
chr10	50312474	50571008	+	NM_198007	Ascc3	42
chr10	50615456	50708958	+	NM_011376	Sim1	11
chr10	51200484	51206025	+	NM_008147	Gp49a	9
chr10	51210780	51216417	+	NM_013532	Lilrb4	9
chr10	51305255	51310266	-	NM_029894	Fam162b	4
chr10	51334628	51351264	-	NM_153071	Gprc6a	6
chr10	51405323	51450235	+	NM_177306	Rfx6	16
chr10	51475979	51477000	-	NR_045158	4933411G06Rik	1
chr10	51742491	51748277	+	NM_153786	Vgll2	3
chr10	51765731	51915050	-	NM_011282	Ros1	44
chr10	51953424	52041183	+	NM_025705	Dcbld1	11
chr10	52056829	52101930	-	NM_001199272	Gopc	9
chr10	52111413	52124410	+	NM_025684	Nepn	3
chr10	52137352	52159998	+	NM_030250	Nus1	5
chr10	52262125	52265545	-	NR_037920	Zfa	1
chr10	52410306	52831428	+	NM_178675	Slc35f1	8
chr10	52997886	53099657	-	NM_001204983	Gm9766	13
chr10	53000075	53003493	+	NR_038015	Gm19395	3
chr10	53057491	53065805	+	NM_023129	Pln	2
chr10	53218248	53238795	-	NR_037973	Gm20597	4
chr10	53257129	53350245	-	NM_027830	Mcm9	14
chr10	53316766	53329021	+	NM_025541	Asf1a	4
chr10	53352951	53470715	-	NM_001081428	Fam184a	18
chr10	53625838	53795602	-	NM_008548	Man1a	13
chr10	53795727	53800887	+	NR_038016	Gm16998	3
chr10	55734099	55948495	-	NM_001033385	D630037F22Rik	33
chr10	55826722	55836686	+	NM_001163833	Msl3l2	2
chr10	56097105	56110225	+	NM_010288	Gja1	2
chr10	57198188	57206159	-	NR_045353	4930467K11Rik	4
chr10	57206190	57232949	+	NM_008297	Hsf2	12
chr10	57235581	57252335	-	NM_019760	Serinc1	9
chr10	57351786	57460918	+	NM_008863	Pkib	6
chr10	57504728	57508256	+	NM_021272	Fabp7	4
chr10	57514349	57531636	+	NM_020561	Smpdl3a	8
chr10	57693398	57695423	-	NM_001081954	Dux	1
chr10	57697595	57699408	-	NM_001034869	Gm4981	1
chr10	57718273	57768340	+	NM_027375	Gcc2	23
chr10	57786213	57887439	+	NM_026148	Lims1	10
chr10	57909599	57956902	+	NM_011240	Ranbp2	29
chr10	57960684	58038992	+	NM_001162956	Ccdc138	16
chr10	58063535	58138444	-	NM_010100	Edar	12
chr10	58159492	58167025	+	NR_033565	BB019430	5
chr10	58276106	58601664	+	NM_172788	Sh3rf3	10
chr10	58604374	58684595	-	NM_001024910	Sept10	10
chr10	58684669	58689181	+	NM_172939	Sowahc	1
chr10	58786043	58836052	+	NM_011030	P4ha1	15
chr10	58866432	58884724	+	NM_023530	Pla2g12b	4
chr10	58885707	58904527	-	NM_010959	Oit3	9
chr10	58909731	59079440	-	NM_001033259	Ccdc109a	8
chr10	59165382	59326870	+	NM_144822	Micu1	12
chr10	59342338	59360764	+	NM_019965	Dnajb12	9
chr10	59412422	59414518	-	NM_029083	Ddit4	3
chr10	59450656	59465860	-	NM_025514	Anapc16	4
chr10	59465552	59562738	+	NM_026937	Ascc1	11
chr10	59569004	59596661	+	NM_052994	Spock2	11
chr10	59644275	59682008	-	NM_016803	Chst3	4
chr10	59740375	59765348	+	NM_001146122	Psap	14
chr10	59765497	60159238	-	NM_001252635	Cdh23	69
chr10	59809598	59835432	+	NM_028732	4632428N05Rik	7
chr10	59862473	59866306	+	NM_001164374	Gm17455	2
chr10	60174819	60215530	-	NM_023596	Slc29a3	6
chr10	60225342	60294329	-	NM_029770	Unc5b	17
chr10	60390973	60400880	-	NR_033616	Pldi	3
chr10	60494050	60500828	+	NR_040638	4930565A17	3
chr10	60552090	60557077	+	NM_025273	Pcbd1	4
chr10	60561389	60610413	-	NM_009163	Sgpl1	15
chr10	60638009	60643428	+	NM_023064	Tbata	4
chr10	60659859	60736186	-	NM_001081127	Adamts14	22
chr10	60760583	60767011	+	NM_011073	Prf1	3
chr10	60782404	60846271	-	NM_013753	X99384	20
chr10	60880719	60888085	+	NM_013611	Nodal	3
chr10	60895244	60915417	-	NM_010124	Eif4ebp2	3
chr10	60938580	61044976	+	NM_153542	Lrrc20	5
chr10	61058231	61089133	+	NM_001177511	Npffr1	4
chr10	61111368	61136913	+	NM_026438	Ppa1	11
chr10	61143068	61156045	+	NM_009120	Sar1a	7
chr10	61158261	61165521	+	NM_027912	Tysnd1	4
chr10	61183396	61201400	+	NM_153779	Aifm2	9
chr10	61201394	61246612	-	NM_207000	H2afy2	9
chr10	61237484	61237569	+	NR_039568	Mir5108	1
chr10	61301245	61441856	-	NM_007731	Col13a1	41
chr10	61533769	61535319	+	NR_002687	Gm5424	1
chr10	61570403	61573761	-	NM_027251	2010107G23Rik	4
chr10	61595837	61597511	+	NM_009719	Neurog3	2
chr10	61648143	61693966	-	NM_197996	Tspan15	8
chr10	61715185	61728738	+	NM_009314	Tacr2	5
chr10	61731602	61842656	-	NM_010438	Hk1	22
chr10	61803354	61812614	+	NR_038038	2210417K05Rik	2
chr10	61845884	61885205	-	NM_145419	Hkdc1	18
chr10	61892125	61912441	-	NM_181423	Supv3l1	15
chr10	61911907	61914101	+	NR_027926	4930507D05Rik	1
chr10	61917590	61949346	-	NM_001113355	Vps26a	9
chr10	61957175	61970503	-	NM_011157	Srgn	3
chr10	62021217	62041205	-	NM_028197	2510003E04Rik	7
chr10	62042994	62065046	-	NM_019553	Ddx21	15
chr10	62078770	62113946	-	NM_053183	Ddx50	15
chr10	62122169	62188847	-	NM_001033260	Stox1	4
chr10	62206675	62255116	-	NM_026201	Ccar1	25
chr10	62267317	62342762	-	NM_027384	Tet1	11
chr10	62383380	62409242	+	NM_175194	Slc25a16	9
chr10	62409776	62436936	+	NM_177372	Dna2	21
chr10	62442970	62481490	+	NM_027425	Rufy2	18
chr10	62477411	62486597	-	NM_001079824	Hnrnph3	10
chr10	62487259	62521560	+	NM_026085	Pbld2	10
chr10	62524364	62540284	+	NM_026701	Pbld1	9
chr10	62562903	62563353	+	NM_016864	Atoh7	1
chr10	62578542	62666700	-	NM_182992	Mypn	20
chr10	62706544	62780629	+	NM_030114	Herc4	26
chr10	62781752	62801780	-	NM_019812	Sirt1	9
chr10	62845190	62871588	+	NM_001253685	Dnajc12	5
chr10	62892845	64466415	+	NM_177612	Ctnna3	18
chr10	63391244	63553003	-	NM_178678	Lrrtm3	3
chr10	65583356	65586812	-	NR_038039	1700023F02Rik	3
chr10	66471936	66559736	-	NM_001204915	Reep3	9
chr10	66590005	66719074	+	NM_207221	Jmjd1c	26
chr10	66729436	66748029	-	NM_001036293	Nrbf2	4
chr10	67000616	67004936	+	NM_010118	Egr2	2
chr10	67007258	67011703	-	NM_001005419	Ado	1
chr10	67348852	67375410	-	NM_178679	Zfp365	5
chr10	67442345	67506612	+	NM_001081346	Rtkn2	13
chr10	67558340	67741474	-	NM_023598	Arid5b	10
chr10	67781812	67783890	-	NR_045357	4930545H06Rik	3
chr10	67893703	68004623	-	NM_028491	1700040L02Rik	8
chr10	68186493	68245402	+	NM_177794	Tmem26	6
chr10	68675941	68754532	+	NM_001252638	Rhobtb1	12
chr10	68799382	68815660	-	NM_007659	Cdk1	8
chr10	68996455	69490184	+	NM_146005	Ank3	43
chr10	69559868	69655948	+	NM_001111121	Ccdc6	9
chr10	69667414	69682459	+	NR_038041	2310015B20Rik	3
chr10	69708023	69748699	+	NM_025807	Slc16a9	6
chr10	69903657	70021480	+	NM_001143776	Fam13c	14
chr10	70020433	70062039	-	NM_178621	Phyhipl	5
chr10	70063796	70114673	-	NR_045291	D630013N20Rik	6
chr10	70387847	70622382	-	NM_031397	Bicc1	21
chr10	70631484	70644788	-	NR_038040	C730027H18Rik	8
chr10	70688224	70700792	-	NM_009360	Tfam	7
chr10	70717727	70748010	-	NM_145420	Ube2d1	7
chr10	70793241	70807597	-	NM_134007	Cisd1	3
chr10	70810540	70848633	+	NM_027184	Ipmk	6
chr10	71442632	71443438	-	NR_003644	1700049L16Rik	1
chr10	72117642	72132537	+	NM_025635	Zwint	8
chr10	72436050	72549453	-	NR_040646	A330049N07Rik	5
chr10	73284614	74097510	+	NM_001142737	Pcdh15	31
chr10	74420221	74495298	-	NM_001163534	Rtdr1	7
chr10	74429975	74478622	+	NM_010311	Gnaz	4
chr10	74499833	74516845	+	NM_029781	Rab36	11
chr10	74523640	74647668	+	NM_001081412	Bcr	23
chr10	74674817	74775145	+	NM_153406	Specc1l	16
chr10	74779687	74797533	+	NM_009630	Adora2a	3
chr10	74814799	74815706	+	NR_033602	Gm5779	1
chr10	74869778	74902940	+	NM_133995	Upb1	10
chr10	74912254	74925849	+	NR_045841	4933407G14Rik	3
chr10	74969558	74980067	-	NM_175133	1110038D17Rik	6
chr10	74980786	74998185	+	NM_026095	Snrpd3	4
chr10	75012869	75023075	-	NM_198860	AI646023	4
chr10	75036337	75048927	+	NM_008116	Ggt1	13
chr10	75052125	75079713	+	NM_011820	Ggt5	12
chr10	75099363	75106753	-	NM_027890	Susd2	15
chr10	75108854	75227102	-	NM_172549	Cabin1	37
chr10	75233977	75236119	-	NM_010027	Ddt	3
chr10	75236866	75244159	-	NM_133994	Gstt3	5
chr10	75246557	75261329	-	NM_008185	Gstt1	5
chr10	75277688	75285288	-	NM_029472	Gstt4	5
chr10	75294589	75297626	-	NM_010361	Gstt2	5
chr10	75322097	75322995	-	NM_010798	Mif	3
chr10	75356142	75358686	+	NM_024440	Derl3	7
chr10	75359513	75384359	-	NM_001161853	Smarcb1	9
chr10	75385968	75395208	-	NM_008606	Mmp11	8
chr10	75398317	75400479	+	NM_175329	Chchd10	4
chr10	75411056	75412391	+	NM_009514	Vpreb3	2
chr10	75417258	75472334	+	NM_198635	Gm5134	14
chr10	75495356	75505714	+	NM_177475	Zfp280b	2
chr10	75521365	75573763	-	NM_023219	Slc5a4b	15
chr10	75610195	75652010	+	NM_133184	Slc5a4a	15
chr10	75669966	75700610	-	NM_133182	Prmt2	11
chr10	75670070	75670154	-	NR_030443	Mir678	1
chr10	75716580	75724064	+	NM_009115	S100b	3
chr10	75725793	75808036	-	NM_001081419	Dip2a	38
chr10	75813998	75905657	-	NM_008787	Pcnt	42
chr10	75851759	75864252	+	NR_040580	1700094J05Rik	5
chr10	75911825	75923963	+	NM_029816	2610028H24Rik	8
chr10	75922311	75931859	-	NM_172550	Ybey	5
chr10	75931715	75978602	+	NM_019434	Mcm3ap	29
chr10	75994371	76016679	+	NM_146006	Lss	22
chr10	76008615	76024971	-	NR_045354	4930483K19Rik	4
chr10	76025016	76032945	+	NM_029661	1700027D21Rik	4
chr10	76038392	76053083	+	NM_080845	Ftcd	14
chr10	76058500	76086149	-	NM_146007	Col6a2	28
chr10	76171536	76188789	-	NM_009933	Col6a1	35
chr10	76224598	76424692	-	NM_021568	Pcbp3	16
chr10	76474739	76484959	+	NR_045882	Gm10787	3
chr10	76495483	76513177	+	NM_001199271	Slc19a1	6
chr10	76514923	76576450	-	NM_001109991	Col18a1	41
chr10	76720517	76721968	-	NR_026944	Gm10941	2
chr10	76722044	76732331	+	NM_030262	Pofut2	9
chr10	76753471	76881018	-	NM_130895	Adarb1	11
chr10	76881120	76883684	+	NR_027377	Gm17769	1
chr10	76949399	76978558	-	NM_133998	1810008A18Rik	6
chr10	76993092	77028419	+	NM_008404	Itgb2	16
chr10	77044511	77061477	+	NM_145925	Pttg1ip	6
chr10	77068978	77081076	+	NM_019929	Sumo3	4
chr10	77085065	77108735	+	NM_019803	Ube2g2	6
chr10	77103968	77104052	+	NR_035451	Mir1930	1
chr10	77152701	77153502	-	NM_001205032	Gm19402	1
chr10	77169331	77169731	+	NR_026831	Gm10272	1
chr10	77174201	77174754	+	NM_001081452	Gm10024	1
chr10	77178551	77178914	+	NM_001205035	Gm10142	1
chr10	77183330	77184001	+	NM_010670	Krtap12-1	1
chr10	77189230	77189593	+	NM_001205033	Gm10100	1
chr10	77233377	77234070	-	NM_001101630	Gm3238	1
chr10	77261131	77261878	-	NM_001205034	Gm19668	1
chr10	77277426	77278149	+	NM_001205009	Gm2696	1
chr10	77288913	77289815	-	NM_001135991	Krtap10-4	1
chr10	77298691	77299996	+	NM_001024709	Krtap10-10	1
chr10	77315603	77316533	+	NM_001162944	Gm10318	1
chr10	77324719	77325383	+	NM_001101631	Gm3285	1
chr10	77356164	77358856	+	NR_015547	1700009J07Rik	2
chr10	77360319	77365281	-	NM_145152	Lrrc3	2
chr10	77370466	77432617	-	NM_138301	Trpm2	34
chr10	77441394	77448183	+	NM_026431	1810043G02Rik	7
chr10	77449693	77472541	-	NM_008826	Pfkl	22
chr10	77492775	77506325	-	NM_009646	Aire	14
chr10	77505031	77526360	+	NM_001081695	Dnmt3l	14
chr10	77532112	77542270	+	NM_015790	Icosl	7
chr10	77624811	77632513	-	NM_138601	D10Jhu81e	7
chr10	77633654	77647894	-	NM_029546	Pwp2	21
chr10	77649470	77707387	-	NM_001081055	Trappc10	23
chr10	77734307	77814445	-	NM_053014	Agpat3	10
chr10	77863106	77875788	-	NM_010925	Rrp1	13
chr10	77888414	77890367	+	NM_007793	Cstb	3
chr10	77899491	77927693	-	NM_172134	Pdxk	11
chr10	78037244	78047247	+	NM_173751	Ilvbl	16
chr10	78047247	78054709	-	NM_027875	Syde1	8
chr10	78074413	78080819	-	NM_001011737	Olfr1357	2
chr10	78174739	78181038	-	NM_009809	Casp14	7
chr10	78209668	78215812	-	NM_027630	Ccdc105	7
chr10	78243240	78277570	+	NM_009200	Slc1a6	10
chr10	78309695	78310658	-	NM_146308	Olfr1356	1
chr10	78338293	78342851	+	NM_207571	Olfr1355	2
chr10	78379586	78380681	+	NM_001199840	Olfr1354	1
chr10	78417951	78418884	+	NM_207201	Olfr8	1
chr10	78426053	78433357	+	NM_147042	Olfr1353	3
chr10	78443794	78447466	+	NM_147071	Olfr1352	2
chr10	78480068	78481028	+	NM_147040	Olfr1351	1
chr10	78497467	78498547	+	NM_147041	Olfr57	1
chr10	78527118	78560345	-	NM_001004362	2610008E11Rik	6
chr10	78611560	78657678	+	NM_001103368	Vmn2r80	6
chr10	78710521	78757280	+	NM_175936	Vmn2r81	6
chr10	78819335	78859511	+	NM_001101572	Vmn2r82	6
chr10	78931702	78954899	+	NM_001104537	Vmn2r83	6
chr10	78989173	78996532	-	NM_015817	Ppap2c	6
chr10	79002989	79017836	-	NM_027422	Mier2	14
chr10	79039221	79049881	-	NM_011583	Theg	8
chr10	79069598	79076770	-	NM_001168624	C2cd4c	2
chr10	79080682	79100663	-	NM_001024539	Shc2	13
chr10	79102270	79108483	-	NM_001033473	Odf3l2	4
chr10	79127318	79131281	+	NM_013591	Madcam1	5
chr10	79132154	79138871	+	NM_148934	Gm16517	2
chr10	79144939	79151143	+	NM_177613	Cdc34	5
chr10	79151764	79158005	+	NM_008504	Gzmm	5
chr10	79167102	79174724	+	NM_001077184	Bsg	7
chr10	79179378	79198853	+	NM_008226	Hcn2	8
chr10	79198869	79209326	-	NM_172551	Polrmt	21
chr10	79217863	79219706	+	NM_023304	Fgf22	3
chr10	79221259	79229697	-	NM_144528	Rnf126	9
chr10	79240018	79245375	+	NM_031380	Fstl3	5
chr10	79244218	79251730	-	NM_001042710	Prss57	5
chr10	79256316	79283641	+	NM_001161747	Palm	8
chr10	79283765	79293197	+	NM_030218	9130017N09Rik	5
chr10	79314121	79317716	-	NR_029447	E130317F20Rik	1
chr10	79317349	79327178	+	NM_008956	Ptbp1	13
chr10	79327525	79337379	-	NR_033210	BC005764	6
chr10	79342411	79345917	+	NM_011178	Prtn3	5
chr10	79349056	79350961	+	NM_015779	Elane	5
chr10	79353597	79355401	+	NM_013459	Cfd	5
chr10	79357451	79371683	-	NM_001163276	Med16	15
chr10	79372797	79379675	-	NM_177994	C030046I01Rik	8
chr10	79379715	79385017	+	NM_053244	Kiss1r	5
chr10	79389816	79417757	+	NM_007880	Arid3a	9
chr10	79422896	79431991	+	NM_175450	Wdr18	10
chr10	79433468	79439935	+	NM_130455	Grin3b	9
chr10	79439864	79447075	-	NM_001003949	ORF61	11
chr10	79451344	79458145	+	NM_007725	Cnn2	7
chr10	79460359	79478317	+	NM_013850	Abca7	46
chr10	79479416	79494216	+	NM_001142701	Hmha1	23
chr10	79498697	79502404	-	NM_025554	Polr2e	7
chr10	79516254	79519184	+	NM_008162	Gpx4	7
chr10	79519758	79565447	-	NM_183426	Sbno2	32
chr10	79579280	79593215	+	NM_011492	Stk11	10
chr10	79593178	79600132	-	NM_001195268	Dos	9
chr10	79605059	79608563	+	NM_025313	Atp5d	4
chr10	79611034	79621112	+	NM_021565	Midn	9
chr10	79630585	79634398	+	NM_007705	Cirbp	7
chr10	79635688	79637864	+	NM_027207	1600002K03Rik	3
chr10	79642226	79652755	+	NM_007909	Efna2	4
chr10	79689342	79707889	+	NM_023431	Mum1	14
chr10	79712196	79719537	+	NM_029272	Ndufs7	8
chr10	79720895	79723713	-	NM_010255	Gamt	6
chr10	79727735	79751158	+	NM_001122605	Dazap1	12
chr10	79755175	79756859	+	NM_009091	Rps15	4
chr10	79764564	79781001	+	NM_011789	Apc2	14
chr10	79780999	79783293	-	NM_025521	2310011J03Rik	2
chr10	79784027	79792218	-	NM_008793	Pcsk4	15
chr10	79792889	79799186	+	NM_139292	Reep6	6
chr10	79805483	79811157	-	NM_025629	Adamtsl5	8
chr10	79819203	79828234	+	NM_183152	Plk5	15
chr10	79843099	79850396	-	NM_198615	Mex3d	2
chr10	79855285	79862224	-	NM_013595	Mbd3	7
chr10	79865741	79869566	-	NM_025650	Uqcr11	3
chr10	79871909	79896398	-	NM_001164149	Tcf3	19
chr10	79957650	79980005	+	NM_139226	Onecut3	2
chr10	79982329	80001869	-	NM_026094	Atp8b3	28
chr10	80003670	80024305	-	NM_025852	Rexo1	15
chr10	80029865	80040041	-	NM_078477	Klf16	2
chr10	80046393	80053086	-	NM_145421	Fam108a	5
chr10	80065624	80070399	+	NM_001100606	Adat3	2
chr10	80065626	80078528	+	NM_019575	Scamp4	7
chr10	80085524	80103516	+	NM_134002	Csnk1g2	11
chr10	80105361	80119816	-	NM_145361	Btbd2	9
chr10	80128073	80134721	-	NM_021462	Mknk2	12
chr10	80147997	80164565	-	NM_172457	Mob3a	4
chr10	80165437	80168127	+	NM_027829	Izumo4	10
chr10	80169722	80204956	-	NM_007460	Ap3d1	31
chr10	80217950	80257092	+	NM_199322	Dot1l	28
chr10	80258843	80261371	-	NM_023900	Plekhj1	6
chr10	80261479	80267667	+	NM_013651	Sf3a2	9
chr10	80267992	80270393	+	NM_007445	Amh	5
chr10	80271240	80276243	-	NM_028001	Jsrp1	7
chr10	80289400	80292035	+	NM_008753	Oaz1	5
chr10	80289440	80291962	+	NR_027656	Oaz-ps	5
chr10	80291541	80291615	+	NR_035503	Mir1982	1
chr10	80295547	80306784	-	NM_001013758	Lingo3	2
chr10	80315569	80317954	-	NM_025349	Lsm7	4
chr10	80318019	80331453	+	NM_175195	3110056O03Rik	15
chr10	80342560	80362239	+	NM_001081688	Tmprss9	18
chr10	80362194	80363714	-	NM_013895	Timm13	3
chr10	80364107	80380990	-	NM_010722	Lmnb2	12
chr10	80392835	80394949	+	NM_008655	Gadd45b	4
chr10	80411368	80477670	-	NM_010319	Gng7	4
chr10	80482334	80488122	-	NM_145217	Diras1	2
chr10	80491284	80496657	-	NM_134135	Slc39a3	2
chr10	80506817	80522899	-	NM_024499	Sgta	12
chr10	80532827	80545105	+	NM_022653	Thop1	13
chr10	80547077	80561617	-	NM_145365	Creb3l3	12
chr10	80568691	80587442	+	NM_023138	Map2k2	11
chr10	80599015	80614402	+	NM_010731	Zbtb7a	3
chr10	80616715	80630465	-	NM_021501	Pias4	11
chr10	80639375	80645254	+	NM_007907	Eef2	14
chr10	80641705	80641758	+	NR_028549	Snord37	1
chr10	80646007	80655942	+	NM_001190473	Dapk3	9
chr10	80657435	80671115	+	NR_015477	2310050B05Rik	3
chr10	80660914	80664782	-	NM_027120	Itgb1bp3	7
chr10	80667257	80693524	-	NM_178662	Atcay	13
chr10	80695907	80714868	+	NM_001034895	Zfr2	18
chr10	80720289	80725726	+	NM_010768	Matk	14
chr10	80727466	80729671	-	NM_025317	Mrpl54	3
chr10	80730916	80735992	+	NM_018758	Apba3	11
chr10	80734341	80734432	+	NR_037218	Mir3057	1
chr10	80735944	80754012	-	NM_013769	Tjp3	21
chr10	80755716	80782719	+	NM_008844	Pip5k1c	18
chr10	80783847	80788996	+	NM_027381	2510012J08Rik	9
chr10	80791475	80797917	+	NM_009325	Tbxa2r	4
chr10	80800506	80806011	-	NM_148951	Gipc3	6
chr10	80808790	80813172	-	NM_010440	Hmg20b	9
chr10	80820314	80826780	+	NM_028657	Mfsd12	10
chr10	80826768	80828565	-	NM_001014836	4930404N11Rik	4
chr10	80829623	80841115	-	NM_019757	Fzr1	14
chr10	80847172	80851097	+	NM_133964	Dohh	5
chr10	80855808	80857824	+	NM_001099917	2210404O07Rik	4
chr10	80858935	80889918	-	NM_026756	Nfic	9
chr10	80921972	80945454	-	NM_176954	Celf5	12
chr10	80949203	80959108	-	NM_134009	Ncln	14
chr10	80960489	80962882	-	NM_010102	S1pr4	1
chr10	80965058	80986970	-	NM_010304	Gna15	7
chr10	80991476	81007791	-	NM_010301	Gna11	7
chr10	81022304	81029109	+	NM_010347	Aes	7
chr10	81038031	81053590	+	NM_019725	Tle2	21
chr10	81053649	81063645	-	NM_053254	Tle6	14
chr10	81069052	81072581	+	NR_030677	BC025920	3
chr10	81084530	81090353	-	NM_181586	Sirt6	8
chr10	81091284	81110357	+	NM_027480	Ankrd24	20
chr10	81111813	81130106	+	NM_001142963	Gm10778	4
chr10	81167569	81184721	+	NM_001243067	Zfp433	4
chr10	81205565	81233887	-	NM_199062	Zfp781	4
chr10	81510871	81524331	+	NM_001024626	Zfp873	3
chr10	81590757	81615810	+	NM_001163064	AU041133	4
chr10	81687601	81704020	-	NM_001105557	Zfp938	4
chr10	81949277	81955363	-	NM_001255990	Gm1553	4
chr10	82082595	82085973	-	NM_001135568	1190007I07Rik	3
chr10	82092582	82113239	+	NM_172552	Tdg	10
chr10	82092586	82113022	+	NR_037190	Gm9855	10
chr10	82113177	82153395	-	NM_029102	Glt8d2	10
chr10	82161751	82204137	+	NM_001081218	Hcfc2	15
chr10	82211444	82226886	-	NM_010914	Nfyb	8
chr10	82274867	82286987	+	NR_038042	1700028I16Rik	3
chr10	82296695	82360469	+	NM_001042523	Txnrd1	15
chr10	82329370	82330674	+	NM_025499	Eid3	1
chr10	82448241	82658636	+	NM_021439	Chst11	3
chr10	82693883	82800562	-	NM_177388	Slc41a2	11
chr10	82822965	82831580	+	NM_026579	D10Wsu102e	4
chr10	82950191	82996885	-	NM_153543	Aldh1l2	23
chr10	83006685	83059218	+	NM_001033375	A230046K03Rik	33
chr10	83062778	83111409	-	NM_145220	Appl2	21
chr10	83185609	83225507	+	NM_001145198	1500009L16Rik	6
chr10	83834063	83903216	-	NM_001004363	Nuak1	7
chr10	83989049	83996633	-	NM_175451	Ckap4	2
chr10	84010161	84016083	-	NR_040658	C330046G13Rik	4
chr10	84039691	84077100	+	NM_146008	Tcp11l2	10
chr10	84085181	84189923	+	NM_027423	Polr3b	28
chr10	84218792	84369281	+	NM_001024918	Rfx4	18
chr10	84380360	84479192	+	NM_183172	Ric8b	10
chr10	84559763	84565240	-	NM_010214	Fhl4	2
chr10	84565371	84580492	+	NM_001013028	AI597468	3
chr10	84582177	84590772	-	NM_028832	Mterfd3	3
chr10	84594444	84647799	-	NM_007771	Cry1	13
chr10	84849558	85123037	+	NM_028709	Btbd11	17
chr10	85334575	85351848	+	NM_133993	Pwp1	15
chr10	85354712	85379690	-	NM_181650	Prdm4	12
chr10	85391235	85392392	+	NM_001163614	Ascl4	1
chr10	85401381	85420538	-	NM_145422	D10Wsu52e	12
chr10	85422435	85474605	-	NM_177772	Bpifc	16
chr10	85484673	85511073	+	NM_153195	Fbxo7	9
chr10	85558598	85576330	+	NR_038024	4930486F22Rik	3
chr10	85754337	85961641	-	NM_001164495	Syn3	7
chr10	85763156	85812250	+	NM_011595	Timp3	5
chr10	86148271	86152699	+	NR_015572	1810014B01Rik	3
chr10	86153585	86168189	-	NM_011631	Hsp90b1	18
chr10	86175509	86194396	+	NM_153595	BC030307	5
chr10	86241749	86301134	+	NM_175331	Nt5dc3	14
chr10	86303954	86470687	-	NM_138673	Stab2	69
chr10	86520790	86693344	+	NM_029685	1700113H08Rik	6
chr10	86953785	86956405	-	NM_008553	Ascl1	2
chr10	86984539	87046882	+	NM_008777	Pah	13
chr10	87323855	87378515	+	NM_184052	Igf1	4
